Year,Species,Tonnes
1970,Sparus aurata,0
1971,Sparus aurata,0
1972,Sparus aurata,0
1973,Sparus aurata,0
1974,Sparus aurata,0
1975,Sparus aurata,0
1976,Sparus aurata,0
1977,Sparus aurata,0
1978,Sparus aurata,0
1979,Dicentrarchus labrax,2
1979,Sparus aurata,0
1980,Dicentrarchus labrax,5
1980,Sparus aurata,0
1981,Dicentrarchus labrax,5
1981,Sparus aurata,0
1982,Dicentrarchus labrax,10
1982,Sparus aurata,0
1983,Dicentrarchus labrax,20
1983,Sparus aurata,0
1984,Dicentrarchus labrax,43
1984,Sparus aurata,22
1985,Dicentrarchus labrax,159
1985,Sparus aurata,152
1986,Dicentrarchus labrax,287
1986,Sparus aurata,228
1987,Dicentrarchus labrax,274
1987,Sparus aurata,311
1988,Dicentrarchus labrax,319
1988,Sparus aurata,692
1989,Dicentrarchus labrax,750
1989,Sparus aurata,1726
1990,Dicentrarchus labrax,1464
1990,Sparus aurata,2652
1991,Dicentrarchus labrax,3496
1991,Sparus aurata,3977
1992,Dicentrarchus labrax,6648
1992,Sparus aurata,6773
1993,Dicentrarchus labrax,12073
1993,Sparus aurata,9624
1994,Dicentrarchus labrax,12811
1994,Sparus aurata,17558
1995,Dicentrarchus labrax,17384
1995,Sparus aurata,19586
1996,Dicentrarchus labrax,20943
1996,Sparus aurata,27204
1997,Dicentrarchus labrax,25863
1997,Sparus aurata,34261
1998,Dicentrarchus labrax,33224
1998,Sparus aurata,43595
1999,Dicentrarchus labrax,42916
1999,Sparus aurata,57141
2000,Dicentrarchus labrax,51547
2000,Sparus aurata,69894
2001,Dicentrarchus labrax,48348
2001,Sparus aurata,70844
2002,Dicentrarchus labrax,47552
2002,Sparus aurata,66781
2003,Dicentrarchus labrax,58426
2003,Sparus aurata,79977
2004,Dicentrarchus labrax,62352
2004,Sparus aurata,79567
2005,Dicentrarchus labrax,81229
2005,Sparus aurata,93539
2006,Dicentrarchus labrax,85834
2006,Sparus aurata,95248
2007,Dicentrarchus labrax,91584
2007,Sparus aurata,109237
2008,Dicentrarchus labrax,96501.84
2008,Sparus aurata,109536.29
2009,Dicentrarchus labrax,93500.393
2009,Sparus aurata,116120.433
2010,Dicentrarchus labrax,104371.899
2010,Sparus aurata,112572.898
2011,Dicentrarchus labrax,104430.447
2011,Sparus aurata,107128.74
2012,Dicentrarchus labrax,118497.837
2012,Sparus aurata,114883.849
2013,Dicentrarchus labrax,120215.895
2013,Sparus aurata,129507.244
2014,Dicentrarchus labrax,126665.087
2014,Sparus aurata,128395.522
2015,Dicentrarchus labrax,134737.188
2015,Sparus aurata,136820.288
2016,Dicentrarchus labrax,149735.801
2016,Sparus aurata,146217.257
2017,Dicentrarchus labrax,169595.283
2017,Sparus aurata,166833.788
2018,Dicentrarchus labrax,191093.097
2018,Sparus aurata,181298.071
2019,Dicentrarchus labrax,209990.062
2019,Sparus aurata,204252.827
2020,Dicentrarchus labrax,222069.772
2020,Sparus aurata,216849.529
