Year,Species,Tonnes
1970,Sparus aurata,0
1971,Sparus aurata,0
1972,Sparus aurata,0
1973,Sparus aurata,0
1974,Sparus aurata,0
1975,Sparus aurata,0
1976,Sparus aurata,0
1977,Sparus aurata,0
1978,Sparus aurata,0
1979,Dicentrarchus labrax,0.1
1979,Sparus aurata,0
1980,Dicentrarchus labrax,0.25
1980,Sparus aurata,0
1981,Dicentrarchus labrax,0.25
1981,Sparus aurata,0
1982,Dicentrarchus labrax,0.5
1982,Sparus aurata,0
1983,Dicentrarchus labrax,1
1983,Sparus aurata,0
1984,Dicentrarchus labrax,2.15
1984,Sparus aurata,1.1
1985,Dicentrarchus labrax,7.95
1985,Sparus aurata,7.6
1986,Dicentrarchus labrax,14.35
1986,Sparus aurata,11.4
1987,Dicentrarchus labrax,13.7
1987,Sparus aurata,15.55
1988,Dicentrarchus labrax,15.95
1988,Sparus aurata,34.6
1989,Dicentrarchus labrax,37.5
1989,Sparus aurata,86.3
1990,Dicentrarchus labrax,73.2
1990,Sparus aurata,132.6
1991,Dicentrarchus labrax,174.8
1991,Sparus aurata,198.85
1992,Dicentrarchus labrax,332.4
1992,Sparus aurata,338.65
1993,Dicentrarchus labrax,603.65
1993,Sparus aurata,481.2
1994,Dicentrarchus labrax,640.55
1994,Sparus aurata,877.9
1995,Dicentrarchus labrax,869.2
1995,Sparus aurata,979.3
1996,Dicentrarchus labrax,1047.15
1996,Sparus aurata,1360.2
1997,Dicentrarchus labrax,1293.15
1997,Sparus aurata,1713.05
1998,Dicentrarchus labrax,1661.2
1998,Sparus aurata,2179.75
1999,Dicentrarchus labrax,2145.8
1999,Sparus aurata,2857.05
2000,Dicentrarchus labrax,2577.35
2000,Sparus aurata,3494.7
2001,Dicentrarchus labrax,2417.4
2001,Sparus aurata,3542.2
2002,Dicentrarchus labrax,2377.6
2002,Sparus aurata,3339.05
2003,Dicentrarchus labrax,2921.3
2003,Sparus aurata,3998.85
2004,Dicentrarchus labrax,3117.6
2004,Sparus aurata,3978.35
2005,Dicentrarchus labrax,4061.45
2005,Sparus aurata,4676.95
2006,Dicentrarchus labrax,4291.7
2006,Sparus aurata,4762.4
2007,Dicentrarchus labrax,4579.2
2007,Sparus aurata,5461.85
2008,Dicentrarchus labrax,4825.092
2008,Sparus aurata,5476.8144999999995
2009,Dicentrarchus labrax,4675.01965
2009,Sparus aurata,5806.021650000001
2010,Dicentrarchus labrax,5218.594950000001
2010,Sparus aurata,5628.6449
2011,Dicentrarchus labrax,5221.52235
2011,Sparus aurata,5356.437
2012,Dicentrarchus labrax,5924.89185
2012,Sparus aurata,5744.1924500000005
2013,Dicentrarchus labrax,6010.79475
2013,Sparus aurata,6475.3622000000005
2014,Dicentrarchus labrax,6333.25435
2014,Sparus aurata,6419.7761
2015,Dicentrarchus labrax,6736.859399999999
2015,Sparus aurata,6841.0144
2016,Dicentrarchus labrax,7486.7900500000005
2016,Sparus aurata,7310.86285
2017,Dicentrarchus labrax,8479.764149999999
2017,Sparus aurata,8341.6894
2018,Dicentrarchus labrax,9554.65485
2018,Sparus aurata,9064.903549999999
2019,Dicentrarchus labrax,10499.5031
2019,Sparus aurata,10212.64135
2020,Dicentrarchus labrax,11103.4886
2020,Sparus aurata,10842.47645
