Species,Year,Tonnes
Sparus aurata,1950,0
Sparus aurata,1951,200
Sparus aurata,1952,0
Sparus aurata,1953,200
Sparus aurata,1954,100
Sparus aurata,1955,100
Sparus aurata,1956,300
Sparus aurata,1957,200
Sparus aurata,1958,1300
Sparus aurata,1959,1200
Sparus aurata,1960,900
Sparus aurata,1961,900
Sparus aurata,1962,1300
Sparus aurata,1963,1200
Sparus aurata,1964,1800
Sparus aurata,1965,2000
Sparus aurata,1966,2000
Sparus aurata,1967,1400
Sparus aurata,1968,1500
Sparus aurata,1969,1600
Sparus aurata,1970,1657
Sparus aurata,1971,1389
Sparus aurata,1972,1827
Sparus aurata,1973,1523
Sparus aurata,1974,1950
Sparus aurata,1975,2770
Sparus aurata,1976,2364
Sparus aurata,1977,2939
Sparus aurata,1978,3332
Sparus aurata,1979,1531
Sparus aurata,1980,2143
Sparus aurata,1981,2036
Sparus aurata,1982,1972
Sparus aurata,1983,2412
Sparus aurata,1984,2448
Sparus aurata,1985,2286
Sparus aurata,1986,2041
Sparus aurata,1987,1651
Sparus aurata,1988,2266
Sparus aurata,1989,2525
Sparus aurata,1990,2551
Sparus aurata,1991,2752
Sparus aurata,1992,3372
Sparus aurata,1993,3238
Sparus aurata,1994,2871
Sparus aurata,1995,2541
Sparus aurata,1996,2747
Sparus aurata,1997,2469
Sparus aurata,1998,2851
Sparus aurata,1999,3997
Sparus aurata,2000,3393
Sparus aurata,2001,3385
Sparus aurata,2002,3875
Sparus aurata,2003,3978
Sparus aurata,2004,3922
Sparus aurata,2005,4466
Sparus aurata,2006,4890
Sparus aurata,2007,4366
Sparus aurata,2008,5237
Sparus aurata,2009,5162
Sparus aurata,2010,5148
Sparus aurata,2011,4366
Sparus aurata,2012,4441
Sparus aurata,2013,4560
Sparus aurata,2014,4369
Sparus aurata,2015,5025
Sparus aurata,2016,5019
Sparus aurata,2017,5211
Sparus aurata,2018,4861
Sparus aurata,2019,4880.493
Sparus aurata,2020,5346.6
Dicentrarchus labrax,1950,0
Dicentrarchus labrax,1951,0
Dicentrarchus labrax,1952,0
Dicentrarchus labrax,1953,0
Dicentrarchus labrax,1954,0
Dicentrarchus labrax,1955,0
Dicentrarchus labrax,1956,0
Dicentrarchus labrax,1957,0
Dicentrarchus labrax,1958,300
Dicentrarchus labrax,1959,300
Dicentrarchus labrax,1960,300
Dicentrarchus labrax,1961,400
Dicentrarchus labrax,1962,400
Dicentrarchus labrax,1963,400
Dicentrarchus labrax,1964,500
Dicentrarchus labrax,1965,500
Dicentrarchus labrax,1966,500
Dicentrarchus labrax,1967,400
Dicentrarchus labrax,1968,400
Dicentrarchus labrax,1969,400
Dicentrarchus labrax,1970,0
Dicentrarchus labrax,1971,100
Dicentrarchus labrax,1972,213
Dicentrarchus labrax,1973,395
Dicentrarchus labrax,1974,608
Dicentrarchus labrax,1975,635
Dicentrarchus labrax,1976,655
Dicentrarchus labrax,1977,644
Dicentrarchus labrax,1978,706
Dicentrarchus labrax,1979,555
Dicentrarchus labrax,1980,458
Dicentrarchus labrax,1981,498
Dicentrarchus labrax,1982,1218
Dicentrarchus labrax,1983,733
Dicentrarchus labrax,1984,728
Dicentrarchus labrax,1985,834
Dicentrarchus labrax,1986,893
Dicentrarchus labrax,1987,799
Dicentrarchus labrax,1988,881
Dicentrarchus labrax,1989,1228
Dicentrarchus labrax,1990,964
Dicentrarchus labrax,1991,794
Dicentrarchus labrax,1992,990
Dicentrarchus labrax,1993,1865
Dicentrarchus labrax,1994,612
Dicentrarchus labrax,1995,1016
Dicentrarchus labrax,1996,1273
Dicentrarchus labrax,1997,995
Dicentrarchus labrax,1998,1038
Dicentrarchus labrax,1999,1428
Dicentrarchus labrax,2000,1503
Dicentrarchus labrax,2001,1680
Dicentrarchus labrax,2002,2369
Dicentrarchus labrax,2003,2361
Dicentrarchus labrax,2004,2092
Dicentrarchus labrax,2005,2416
Dicentrarchus labrax,2006,3287
Dicentrarchus labrax,2007,2999
Dicentrarchus labrax,2008,2117
Dicentrarchus labrax,2009,2241
Dicentrarchus labrax,2010,2396
Dicentrarchus labrax,2011,1755
Dicentrarchus labrax,2012,1552
Dicentrarchus labrax,2013,1514
Dicentrarchus labrax,2014,1392
Dicentrarchus labrax,2015,926
Dicentrarchus labrax,2016,908.076
Dicentrarchus labrax,2017,863.121
Dicentrarchus labrax,2018,851
Dicentrarchus labrax,2019,912.143
Dicentrarchus labrax,2020,1538.829
