UN_Code,SPECIES.ALPHA_3_CODE,AREA.CODE,MEASURE,Year,VALUE,STATUS,country,Species_name,Scientific_Name,Major_Group_En,Area_name
196,BSS,37,Q_tlw,2020,1.994,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2019,3.045,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2018,3,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2017,1,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2016,1,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2015,18,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2014,4,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2013,2,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2012,3,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2011,3,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2010,1,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2009,0,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2008,1,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2007,22,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2006,0,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2005,2,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2004,3,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2003,6,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2002,3,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,BSS,37,Q_tlw,2001,3,NA,Cyprus,European seabass,Dicentrarchus labrax,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2020,10.424,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2019,13.578,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2018,5,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2017,4,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2016,2,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2015,29,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2014,3,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2013,27,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2012,52,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2011,1,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2010,5,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2009,5,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2008,4,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2007,7,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2006,8,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2005,3,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2004,3,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2003,3,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2002,45,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,2001,37,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,1999,0,N,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,1998,0,N,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,1997,0,N,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
196,SBG,37,Q_tlw,1996,1,NA,Cyprus,Gilthead seabream,Sparus aurata,PISCES,Mediterranean and Black Sea
