Species,Year,ton_anom
Sparus aurata,1990,-1.0308489303434496
Sparus aurata,1991,-1.1008214522007658
Sparus aurata,1992,-1.0544319739641368
Sparus aurata,1993,-0.7150299944961275
Sparus aurata,1994,-0.9172314280499405
Sparus aurata,1995,-1.204731551059393
Sparus aurata,1996,-1.1942538807579512
Sparus aurata,1997,-1.2962382332232387
Sparus aurata,1998,-1.2423933334546835
Sparus aurata,1999,-1.2158073430983556
Sparus aurata,2000,-0.5759576215339508
Sparus aurata,2001,-0.27976798179155243
Sparus aurata,2002,-0.3323728217490902
Sparus aurata,2003,-0.24128757117701452
Sparus aurata,2004,-0.12206609927264585
Sparus aurata,2005,-0.10298516745229758
Sparus aurata,2006,-0.08138118658256867
Sparus aurata,2007,0.18981236376008037
Sparus aurata,2008,0.4062259029370087
Sparus aurata,2009,0.5755741286429074
Sparus aurata,2010,0.480621764811455
Sparus aurata,2011,0.7982360798306967
Sparus aurata,2012,0.2895904863521222
Sparus aurata,2013,0.3952622876281451
Sparus aurata,2014,0.5028301455094761
Sparus aurata,2015,0.6764169245861126
Sparus aurata,2016,1.376458377251782
Sparus aurata,2017,1.7079061519083618
Sparus aurata,2018,1.7269377557755254
Sparus aurata,2019,1.2851773791488657
Sparus aurata,2020,2.2965568220646246
Dicentrarchus labrax,1990,-0.17646412451385945
Dicentrarchus labrax,1991,-0.5208837173695783
Dicentrarchus labrax,1992,0.027684562774359094
Dicentrarchus labrax,1993,1.2867679617329297
Dicentrarchus labrax,1994,-0.828464442852059
Dicentrarchus labrax,1995,-0.9320233577899727
Dicentrarchus labrax,1996,-1.079579130350245
Dicentrarchus labrax,1997,-1.0191456865984325
Dicentrarchus labrax,1998,-1.3237861066785865
Dicentrarchus labrax,1999,-0.4860643961700458
Dicentrarchus labrax,2000,-0.17826350089246207
Dicentrarchus labrax,2001,-0.17871078659130896
Dicentrarchus labrax,2002,0.30507986904033696
Dicentrarchus labrax,2003,0.35682089270816414
Dicentrarchus labrax,2004,0.9776898663525001
Dicentrarchus labrax,2005,1.3947997353176826
Dicentrarchus labrax,2006,2.8368434556349356
Dicentrarchus labrax,2007,1.6854366696292173
Dicentrarchus labrax,2008,0.31026705831225065
Dicentrarchus labrax,2009,-0.050971139751909644
Dicentrarchus labrax,2010,0.08565056898673108
Dicentrarchus labrax,2011,-0.26520726197769756
Dicentrarchus labrax,2012,-0.6280457107510091
Dicentrarchus labrax,2013,-0.6869349245093433
Dicentrarchus labrax,2014,-0.7741907979088402
Dicentrarchus labrax,2015,-0.9275652733642039
Dicentrarchus labrax,2016,-0.4170534332180699
Dicentrarchus labrax,2017,-0.40148677578887676
Dicentrarchus labrax,2018,-0.5364526770588136
Dicentrarchus labrax,2019,-0.11001411285054438
Dicentrarchus labrax,2020,2.254266716496748
