Country Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Albania,Tonnes - live weight,41,,59,,57,,65,,68,,62,,43,,56,,54,,70,,225,,67,,110,,51,,110,,25,,8,,8,,181,,90,,23,,20,,20,,11,,27,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Tonnes - live weight,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Croatia,Tonnes - live weight,131.642,,123,,131,,162,,170,,141,,96,,77,,74,,74,,59,,33,,18,,44,,19,,16,,8,,6,,6,,11,,25,,27,,84,,44,,13,,17,,18,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Tonnes - live weight,10.424,,13.578,,5,,4,,2,,29,,3,,27,,52,,1,,5,,5,,4,,7,,8,,3,,3,,3,,45,,37,,,,0,N,0,N,0,N,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Tonnes - live weight,404,,440,,337,,367,,344,,355,,1019,,1022,,1096,,1198,,1431,,1481,,1322,,1367,,1396,,800,,602,,914,,974,,601,,751,,1398,,553,,533,,754,,451,,475,,378,,335,,523,,505,,462,,130,,102,,81,,190,,239,,449,,299,,330,,268,,150,,129,,70,,23,,51,,66,,61,,66,,89,,65,,100,,200,,200,,200,,400,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Tonnes - live weight,646.95,,638,,711,,502,,463,,583,,466,,291,,320,,484,,437,,393,,302,,248,,345,,360,,535,,431,,319,,207,,170,,226,,106,,106,,132,,103,,79,,387,,237,,250,,323,,191,,482,,,,,,,,214,,321,,227,,328,,253,,337,,476,,814,,536,,545,,471,,300,,400,,479,,315,,300,,200,,200,,200,,200,,300,,,,,,,,,,200,,200,,100,,200,,100,,100,,100,,,,,,,
Greece,Tonnes - live weight,536.2,,504,,554,,383,,380,,194,,293,,205,,177,,187,,227,,194,,202,,166,,137,,357,,131,,172,,199,,176,,248,,142,,125,,138,,199,,201,,445,,310,,172,,101,,72,,110,,91,,244,,809,,326,,106,,122,,107,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,200,,200,,200,,200,,200,,200,,100,,100,,100,,100,,200,,200,,,,,,,,,,,,,,,,,
Israel,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,,1578,,1362,,1226,,1322,,931,,840,,542,,221,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Tonnes - live weight,399.691,,654,,1047,,1056,,853,,931,,523,,641,,672,,439,,341,,293,,339,,424,,303,,265,,3349,,2999,,3004,,2675,,1939,,1754,,1717,,1859,,1743,,2179,,3086,,1944,,1772,,1431,,1022,,1217,,1356,,1551,,1674,,1436,,1187,,1078,,874,,961,,1016,,755,,664,,615,,487,,497,,357,,462,,778,,642,,677,,700,,500,,700,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Libya,Tonnes - live weight,125,E,125,E,125,E,125,E,105,E,90,E,100,E,150,E,150,E,130,E,210,E,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Tonnes - live weight,1.036,,18.875,,1,,2,,1,,1,,0,N,0,N,13,,0,N,0,N,1,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Montenegro,Tonnes - live weight,5.76,,13,,13,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Tonnes - live weight,9.28,,6,,9,,9,,3,,4,,4,,6,,10,,6,,29,,22,,29,,30,,27,,8,,3,,1,,1,,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,Tonnes - live weight,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,4,,7,,7,,7,,6,,6,,4,,4,,4,,2,,1,,1,,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tonnes - live weight,13.438,,11,,16,,20,,16,,29,,20,,11,,11,,5,,5,,3,,4,,3,,4,,4,,4,,2,,4,,4,,1,,1,,0,,0,,0,,2,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Tonnes - live weight,1063.17,,536.04,,695,,1100,,987,,663,,618,,828,,760,,1016,,839,,993,,991,,955,,721,,490,,548,,553,,554,,749,,536,,103,,226,,168,,170,,190,E,210,E,230,E,250,E,270,E,290,E,303,,282,,,,,,346,,350,,378,,355,,402,,493,,104,,300,,278,,306,,289,,200,,,,,,,,,,100,,100,,100,,100,,200,,200,,200,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Tonnes - live weight,15,E,15,E,15,E,15,E,15,E,13,E,14,E,15,E,17,E,20,E,22,,30,,28,,37,,28,,67,,57,,61,,63,,34,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Tonnes - live weight,1760,E,1820,E,1648,,1853,,1970,,2380,,1087,,928,,789,,409,,495,,538,,699,,695,,1228,,1121,,1140,,1026,,822,,399,,757,,409,,333,,265,,107,,125,,309,,330,,385,,395,,319,,197,,158,E,332,E,340,E,339,,795,,325,,328,,340,,355,,231,,198,,193,,119,,152,,125,,150,,126,,100,,100,,300,,300,,200,,200,,100,,300,,300,,200,,200,,200,,,,,,,,0,N,0,N,0,N,0,N,0,N,200,,0,N
